
circuit_id,circuit_short_name,country_code,location,lap_length_km,race_laps,sprint_laps
circuit:Austin-9,Austin,USA,Austin,5.513,56,19
circuit:Baku-144,Baku,AZE,Baku,6.003,51,17
circuit:Catalunya-15,Catalunya,ESP,Barcelona,4.657,66,22
circuit:Hungaroring-4,Hungaroring,HUN,Budapest,4.381,70,23
circuit:Imola-6,Imola,ITA,Imola,4.909,63,21
circuit:Interlagos-14,Interlagos,BRA,São Paulo,4.309,71,24
circuit:Jeddah-149,Jeddah,SAU,Jeddah,6.174,50,17
circuit:Las Vegas-152,Las Vegas,USA,Las Vegas,6.201,50,17
circuit:Lusail-150,Lusail,QAT,Lusail,5.419,57,19
circuit:Melbourne-10,Melbourne,AUS,Melbourne,5.278,58,19
circuit:Mexico City-65,Mexico City,MEX,Mexico City,4.304,71,24
circuit:Miami-151,Miami,USA,Miami,5.412,57,19
circuit:Monte Carlo-22,Monte Carlo,MCO,Monaco,3.337,78,30
circuit:Montreal-23,Montreal,CAN,Montréal,4.361,70,23
circuit:Monza-39,Monza,ITA,Monza,5.793,53,18
circuit:Sakhir-63,Sakhir,BHR,Sakhir,5.412,57,19
circuit:Shanghai-49,Shanghai,CHN,Shanghai,5.451,56,19
circuit:Silverstone-2,Silverstone,GBR,Silverstone,5.891,52,17
circuit:Singapore-61,Singapore,SGP,Marina Bay,4.927,62,21
circuit:Spa-Francorchamps-7,Spa-Francorchamps,BEL,Spa-Francorchamps,7.004,44,11
circuit:Spielberg-19,Spielberg,AUT,Spielberg,4.326,71,24
circuit:Suzuka-46,Suzuka,JPN,Suzuka,5.807,53,18
circuit:Yas Marina Circuit-70,Yas Marina Circuit,ARE,Yas Island,5.281,58,19
circuit:Zandvoort-55,Zandvoort,NLD,Zandvoort,4.259,72,24
