driver_id,name_acronym,first_name,last_name,full_name,birthdate,country_code,wikipedia_id,f1_headshot_url,headshot_url
drv:albon-a-1996,ALB,Alexander,Albon,Alexander ALBON,1996-03-23,THA,,https://www.formula1.com/content/dam/fom-website/drivers/A/ALEALB01_Alexander_Albon/alealb01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/A/ALEALB01_Alexander_Albon/alealb01.png.transform/1col/image.png
drv:dunne-a-2005,DUN,Alexander,Dunne,Alexander DUNNE,2005-11-11,IRL,,,
drv:leclerc-a-2000,LEL,Arthur,Leclerc,Arthur LECLERC,2000-10-14,MCO,,,
drv:iwasa-a-2001,IWA,Ayumu,Iwasa,Ayumu IWASA,2001-09-22,JPN,,,
drv:sainz-c-1994,SAI,Carlos,Sainz,Carlos SAINZ,1994-09-01,ESP,,https://www.formula1.com/content/dam/fom-website/drivers/C/CARSAI01_Carlos_Sainz/carsai01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/C/CARSAI01_Carlos_Sainz/carsai01.png.transform/1col/image.png
drv:leclerc-c-1997,LEC,Charles,Leclerc,Charles LECLERC,1997-10-16,MCO,,https://www.formula1.com/content/dam/fom-website/drivers/C/CHALEC01_Charles_Leclerc/chalec01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/C/CHALEC01_Charles_Leclerc/chalec01.png.transform/1col/image.png
drv:ricciardo-d-1989,RIC,Daniel,Ricciardo,Daniel RICCIARDO,1989-07-01,AUS,,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/D/DANRIC01_Daniel_Ricciardo/danric01.png.transform/1col/image.png,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/D/DANRIC01_Daniel_Ricciardo/danric01.png.transform/1col/image.png
drv:ocon-e-1996,OCO,Esteban,Ocon,Esteban OCON,1996-09-17,FRA,,https://www.formula1.com/content/dam/fom-website/drivers/E/ESTOCO01_Esteban_Ocon/estoco01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/E/ESTOCO01_Esteban_Ocon/estoco01.png.transform/1col/image.png
drv:drugovich-f-2000,DRU,Felipe,Drugovich,Felipe DRUGOVICH,2000-05-23,BRA,,,
drv:alonso-f-1981,ALO,Fernando,Alonso,Fernando ALONSO,1981-07-29,ESP,,https://www.formula1.com/content/dam/fom-website/drivers/F/FERALO01_Fernando_Alonso/feralo01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/F/FERALO01_Fernando_Alonso/feralo01.png.transform/1col/image.png
drv:colapinto-f-2003,COL,Franco,Colapinto,Franco COLAPINTO,2003-05-27,ARG,,,
drv:vesti-f-2002,VES,Frederik,Vesti,Frederik VESTI,2002-01-13,DNK,,,
drv:russell-g-1998,RUS,George,Russell,George RUSSELL,1998-02-15,GBR,,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png
drv:hadjar-i-2004,HAD,Isack,Hadjar,Isack HADJAR,2004-09-28,FRA,,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/I/ISAHAD01_Isack_Hadjar/isahad01.png.transform/1col/image.png,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/I/ISAHAD01_Isack_Hadjar/isahad01.png.transform/1col/image.png
drv:doohan-j-2003,DOO,Jack,Doohan,Jack DOOHAN,2003-01-20,AUS,,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/J/JACDOO01_Jack_Doohan/jacdoo01.png.transform/1col/image.png,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/J/JACDOO01_Jack_Doohan/jacdoo01.png.transform/1col/image.png
drv:dennis-j-1995,DEN,Jake,Dennis,Jake DENNIS,1995-06-16,GBR,,,
drv:magnussen-k-1992,MAG,Kevin,Magnussen,Kevin MAGNUSSEN,1992-10-05,DNK,,https://www.formula1.com/content/dam/fom-website/drivers/K/KEVMAG01_Kevin_Magnussen/kevmag01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/K/KEVMAG01_Kevin_Magnussen/kevmag01.png.transform/1col/image.png
drv:stroll-l-1998,STR,Lance,Stroll,Lance STROLL,1998-10-29,CAN,,https://www.formula1.com/content/dam/fom-website/drivers/L/LANSTR01_Lance_Stroll/lanstr01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/L/LANSTR01_Lance_Stroll/lanstr01.png.transform/1col/image.png
drv:norris-l-1999,NOR,Lando,Norris,Lando NORRIS,1999-11-13,GBR,,https://www.formula1.com/content/dam/fom-website/drivers/L/LANNOR01_Lando_Norris/lannor01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/L/LANNOR01_Lando_Norris/lannor01.png.transform/1col/image.png
drv:hamilton-l-1985,HAM,Lewis,Hamilton,Lewis HAMILTON,1985-01-07,GBR,,https://www.formula1.com/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png.transform/1col/image.png
drv:lawson-l-2002,LAW,Liam,Lawson,Liam LAWSON,2002-02-11,NZL,,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/L/LIALAW01_Liam_Lawson/lialaw01.png.transform/1col/image.png,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/L/LIALAW01_Liam_Lawson/lialaw01.png.transform/1col/image.png
drv:sargeant-l-2000,SAR,Logan,Sargeant,Logan SARGEANT,2000-12-31,USA,,https://www.formula1.com/content/dam/fom-website/drivers/L/LOGSAR01_Logan_Sargeant/logsar01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/L/LOGSAR01_Logan_Sargeant/logsar01.png.transform/1col/image.png
drv:browning-l-2002,BRO,Luke,Browning,Luke BROWNING,2002-01-31,GBR,,,
drv:verstappen-m-1997,VER,Max,Verstappen,Max VERSTAPPEN,1997-09-30,NLD,,https://www.formula1.com/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png.transform/1col/image.png
drv:hulkenberg-n-1987,HUL,Nico,Hulkenberg,Nico HULKENBERG,1987-08-19,DEU,,https://www.formula1.com/content/dam/fom-website/drivers/N/NICHUL01_Nico_Hulkenberg/nichul01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/N/NICHUL01_Nico_Hulkenberg/nichul01.png.transform/1col/image.png
drv:devries-n-1995,DEV,Nyck,De Vries,Nyck DE VRIES,1995-02-06,NLD,,https://www.formula1.com/content/dam/fom-website/drivers/N/NYCDEV01_Nyck_De%20Vries/nycdev01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/N/NYCDEV01_Nyck_De%20Vries/nycdev01.png.transform/1col/image.png
drv:bearman-o-2005,BEA,Oliver,Bearman,Oliver BEARMAN,2005-05-08,GBR,,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/O/OLIBEA01_Oliver_Bearman/olibea01.png.transform/1col/image.png,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/O/OLIBEA01_Oliver_Bearman/olibea01.png.transform/1col/image.png
drv:piastri-o-2001,PIA,Oscar,Piastri,Oscar PIASTRI,2001-04-06,AUS,,https://www.formula1.com/content/dam/fom-website/drivers/O/OSCPIA01_Oscar_Piastri/oscpia01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/O/OSCPIA01_Oscar_Piastri/oscpia01.png.transform/1col/image.png
drv:oward-p-1999,OWA,Patricio,O'Ward,Patricio O'WARD,1999-05-06,MEX,,,
drv:gasly-p-1996,GAS,Pierre,Gasly,Pierre GASLY,1996-02-07,FRA,,https://www.formula1.com/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png.transform/1col/image.png
drv:aron-p-2004,ARO,Paul,Aron,Paul ARON,2004-02-04,EST,,,
drv:lindblad-a-2007,LIN,Arvid,Lindblad,Arvid LINDBLAD,2007-08-08,GBR,,,
drv:shwartzman-r-1999,SHW,Robert,Shwartzman,Robert SHWARTZMAN,1999-09-16,ISR,,,
drv:hirakawa-r-1994,HIR,Ryo,Hirakawa,Ryo HIRAKAWA,1994-03-07,JPN,,,
drv:perez-s-1990,PER,Sergio,Perez,Sergio PEREZ,1990-01-26,MEX,,https://www.formula1.com/content/dam/fom-website/drivers/S/SERPER01_Sergio_Perez/serper01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/S/SERPER01_Sergio_Perez/serper01.png.transform/1col/image.png
drv:pourchaire-t-2003,POU,Theo,Pourchaire,Theo POURCHAIRE,2003-08-20,FRA,,,
drv:bottas-v-1989,BOT,Valtteri,Bottas,Valtteri BOTTAS,1989-08-28,FIN,,https://www.formula1.com/content/dam/fom-website/drivers/V/VALBOT01_Valtteri_Bottas/valbot01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/V/VALBOT01_Valtteri_Bottas/valbot01.png.transform/1col/image.png
drv:tsunoda-y-2000,TSU,Yuki,Tsunoda,Yuki TSUNODA,2000-05-11,JPN,,https://www.formula1.com/content/dam/fom-website/drivers/Y/YUKTSU01_Yuki_Tsunoda/yuktsu01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/Y/YUKTSU01_Yuki_Tsunoda/yuktsu01.png.transform/1col/image.png
drv:osullivan-z-2005,OSU,Zak,O'Sullivan,Zak O'SULLIVAN,2005-02-06,GBR,,,
drv:zhou-g-1999,ZHO,Guanyu,Zhou,ZHOU Guanyu,1999-05-30,CHN,,https://www.formula1.com/content/dam/fom-website/drivers/G/GUAZHO01_Guanyu_Zhou/guazho01.png.transform/1col/image.png,https://www.formula1.com/content/dam/fom-website/drivers/G/GUAZHO01_Guanyu_Zhou/guazho01.png.transform/1col/image.png
drv:martins-v-2001,MAR,Victor,Martins,Victor MARTINS,2001-06-16,FRA,,,
drv:bortoleto-g-2004,BOR,Gabriel,Bortoleto,Gabriel BORTOLETO,2004-10-14,BRA,,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/G/GABBOR01_Gabriel_Bortoleto/gabbor01.png.transform/1col/image.png,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/G/GABBOR01_Gabriel_Bortoleto/gabbor01.png.transform/1col/image.png
drv:beganovic-d-2004,BEG,Dino,Beganovic,Dino BEGANOVIC,2004-01-19,SWE,,,
drv:antonelli-k-2006,ANT,Kimi,Antonelli,Andrea Kimi ANTONELLI,2006-08-25,ITA,,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/A/ANDANT01_Andrea%20Kimi_Antonelli/andant01.png.transform/1col/image.png,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/A/ANDANT01_Andrea%20Kimi_Antonelli/andant01.png.transform/1col/image.png
