circuit_id,circuit_short_name,country_code,location,lap_length_km,race_laps,sprint_laps
circuit:Austin-9,Austin,USA,Austin,,,
circuit:Baku-144,Baku,AZE,Baku,,,
circuit:Catalunya-15,Catalunya,ESP,Barcelona,,,
circuit:Hungaroring-4,Hungaroring,HUN,Budapest,,,
circuit:Imola-6,Imola,ITA,Imola,,,
circuit:Interlagos-14,Interlagos,BRA,São Paulo,,,
circuit:Jeddah-149,Jeddah,SAU,Jeddah,,,
circuit:Las Vegas-152,Las Vegas,USA,Las Vegas,,,
circuit:Lusail-150,Lusail,QAT,Lusail,,,
circuit:Melbourne-10,Melbourne,AUS,Melbourne,,,
circuit:Mexico City-65,Mexico City,MEX,Mexico City,,,
circuit:Miami-151,Miami,USA,Miami,,,
circuit:Monte Carlo-22,Monte Carlo,MCO,Monaco,,,
circuit:Montreal-23,Montreal,CAN,Montréal,,,
circuit:Monza-39,Monza,ITA,Monza,,,
circuit:Sakhir-63,Sakhir,BHR,Sakhir,,,
circuit:Shanghai-49,Shanghai,CHN,Shanghai,,,
circuit:Silverstone-2,Silverstone,GBR,Silverstone,,,
circuit:Singapore-61,Singapore,SGP,Marina Bay,,,
circuit:Spa-Francorchamps-7,Spa-Francorchamps,BEL,Spa-Francorchamps,,,
circuit:Spielberg-19,Spielberg,AUT,Spielberg,,,
circuit:Suzuka-46,Suzuka,JPN,Suzuka,,,
circuit:Yas Marina Circuit-70,Yas Marina Circuit,ARE,Yas Island,,,
circuit:Zandvoort-55,Zandvoort,NLD,Zandvoort,,,
