meeting_id,circuit_id,round_number,season,gp_name,date_start,date_end,timezone,country_code,openf1_meeting_key,openf1_circuit_key,meeting_official_name,country_name,city
mtg:azerbaijan-grand-prix-2023,circuit:baku-144,,2023,Azerbaijan Grand Prix,2023-04-28 09:30:00+00,,,AZE,1207,144,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,Azerbaijan,
mtg:spanish-grand-prix-2023,circuit:catalunya-15,,2023,Spanish Grand Prix,2023-06-02 11:30:00+00,,,ESP,1211,15,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,Spain,
mtg:australian-grand-prix-2023,circuit:melbourne-10,,2023,Australian Grand Prix,2023-03-31 01:30:00+00,,,AUS,1143,10,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,Australia,
mtg:miami-grand-prix-2023,circuit:miami-151,,2023,Miami Grand Prix,2023-05-05 18:00:00+00,,,USA,1208,151,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,United States,
mtg:monaco-grand-prix-2023,circuit:monte-carlo-22,,2023,Monaco Grand Prix,2023-05-26 11:30:00+00,,,MCO,1210,22,FORMULA 1 GRAND PRIX DE MONACO 2023,Monaco,
mtg:canadian-grand-prix-2023,circuit:montreal-23,,2023,Canadian Grand Prix,2023-06-16 17:30:00+00,,,CAN,1212,23,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,Canada,
mtg:bahrain-grand-prix-2023,circuit:sakhir-63,,2023,Bahrain Grand Prix,2023-03-03 11:30:00+00,,,BHR,1141,63,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain,
mtg:pre-season-testing-2023,circuit:sakhir-63,,2023,Pre-Season Testing,2023-02-23 07:00:00+00,,,BHR,1140,63,FORMULA 1 ARAMCO PRE-SEASON TESTING 2023,Bahrain,
mtg:austrian-grand-prix-2023,circuit:spielberg-19,,2023,Austrian Grand Prix,2023-06-30 11:30:00+00,,,AUT,1213,19,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,Austria,
mtg:saudi-arabian-grand-prix-2023,circuit:jeddah-149,,2023,Saudi Arabian Grand Prix,2023-03-17 13:30:00+00,,,SAU,1142,149,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabia,
